onset	duration	trial_type	value	sample	stim_file
2.3359375	0.0	image/98	98	1196	nsd/8509.png
3.111328125	0.0	image/70	70	1593	nsd/7007.png
3.9375	0.0	image/65	65	2016	nsd/6524.png
4.76953125	0.0	image/68	68	2442	nsd/6713.png
5.59375	0.0	image/1	1	2864	nsd/2950.png
6.36328125	0.0	image/29	29	3258	nsd/4325.png
7.16796875	0.0	image/105	105	3670	nsd/9027.png
8.765625	0.0	image/52	52	4488	nsd/5583.png
9.56640625	0.0	image/103	103	4898	nsd/8925.png
11.18359375	0.0	image/36	36	5726	nsd/4786.png
11.9453125	0.0	image/23	23	6116	nsd/3951.png
12.755859375	0.0	image/112	112	6531	nsd/9722.png
13.5546875	0.0	image/6	6	6940	nsd/3157.png
14.369140625	0.0	image/37	37	7357	nsd/4835.png
15.138671875	0.0	image/16	16	7751	nsd/3687.png
16.71484375	0.0	image/50	50	8558	nsd/5542.png
17.533203125	0.0	image/96	96	8977	nsd/8435.png
18.318359375	0.0	image/59	59	9379	nsd/6222.png
19.083984375	0.0	image/6	6	9771	nsd/3157.png
19.8671875	0.0	image/60	60	10172	nsd/6431.png
20.65234375	0.0	image/72	72	10574	nsd/7120.png
21.45703125	0.0	image/53	53	10986	nsd/5602.png
22.25390625	0.0	image/76	76	11394	nsd/7409.png
23.03515625	0.0	image/101	101	11794	nsd/8807.png
23.8046875	0.0	image/47	47	12188	nsd/5427.png
24.6171875	0.0	image/64	64	12604	nsd/6521.png
25.419921875	0.0	image/101	101	13015	nsd/8807.png
26.185546875	0.0	image/119	119	13407	nsd/10046.png
26.986328125	0.0	image/28	28	13817	nsd/4249.png
27.7734375	0.0	image/79	79	14220	nsd/7654.png
29.322265625	0.0	image/22	22	15013	nsd/3913.png
30.140625	0.0	image/77	77	15432	nsd/7418.png
30.904296875	0.0	image/75	75	15823	nsd/7366.png
31.7109375	0.0	image/39	39	16236	nsd/4892.png
32.5390625	0.0	image/20	20	16660	nsd/3847.png
33.328125	0.0	image/41	41	17064	nsd/5034.png
34.1484375	0.0	image/4	4	17484	nsd/3077.png
34.923828125	0.0	image/105	105	17881	nsd/9027.png
35.740234375	0.0	image/9	9	18299	nsd/3181.png
36.541015625	0.0	image/117	117	18709	nsd/9978.png
37.337890625	0.0	image/82	82	19117	nsd/7859.png
38.16015625	0.0	image/118	118	19538	nsd/10006.png
39.740234375	0.0	image/78	78	20347	nsd/7480.png
40.505859375	0.0	image/41	41	20739	nsd/5034.png
41.326171875	0.0	image/16	16	21159	nsd/3687.png
42.11328125	0.0	image/98	98	21562	nsd/8509.png
42.90625	0.0	image/12	12	21968	nsd/3449.png
43.673828125	0.0	image/49	49	22361	nsd/5502.png
44.4453125	0.0	image/15	15	22756	nsd/3682.png
45.265625	0.0	image/78	78	23176	nsd/7480.png
46.044921875	0.0	image/58	58	23575	nsd/6199.png
46.865234375	0.0	image/49	49	23995	nsd/5502.png
47.69921875	0.0	image/40	40	24422	nsd/4930.png
48.478515625	0.0	image/71	71	24821	nsd/7039.png
49.291015625	0.0	image/45	45	25237	nsd/5301.png
50.11328125	0.0	image/93	93	25658	nsd/8387.png
50.890625	0.0	image/73	73	26056	nsd/7207.png
52.466796875	0.0	image/102	102	26863	nsd/8843.png
53.24609375	0.0	image/22	22	27262	nsd/3913.png
54.068359375	0.0	image/104	104	27683	nsd/8933.png
54.861328125	0.0	image/94	94	28089	nsd/8394.png
55.62890625	0.0	image/92	92	28482	nsd/8318.png
56.451171875	0.0	image/31	31	28903	nsd/4436.png
58.060546875	0.0	image/72	72	29727	nsd/7120.png
58.86328125	0.0	image/84	84	30138	nsd/7948.png
59.6875	0.0	image/76	76	30560	nsd/7409.png
60.46875	0.0	image/110	110	30960	nsd/9462.png
61.248046875	0.0	image/48	48	31359	nsd/5459.png
62.0390625	0.0	image/34	34	31764	nsd/4690.png
62.873046875	0.0	image/57	57	32191	nsd/6132.png
63.654296875	0.0	image/116	116	32591	nsd/9917.png
64.484375	0.0	image/47	47	33016	nsd/5427.png
65.296875	0.0	image/115	115	33432	nsd/9865.png
66.099609375	0.0	image/32	32	33843	nsd/4612.png
66.921875	0.0	image/91	91	34264	nsd/8274.png
67.751953125	0.0	image/67	67	34689	nsd/6640.png
68.548828125	0.0	image/18	18	35097	nsd/3809.png
69.3515625	0.0	image/83	83	35508	nsd/7944.png
70.140625	0.0	image/33	33	35912	nsd/4667.png
70.955078125	0.0	image/80	80	36329	nsd/7659.png
72.552734375	0.0	image/60	60	37147	nsd/6431.png
73.373046875	0.0	image/67	67	37567	nsd/6640.png
74.185546875	0.0	image/86	86	37983	nsd/8006.png
74.94921875	0.0	image/7	7	38374	nsd/3164.png
75.751953125	0.0	image/102	102	38785	nsd/8843.png
