onset	duration	trial_type	value	sample	stim_file
1.9921875	0.0	image/39	39	1020	train2017/000000268008.jpg
2.783203125	0.0	image/21	21	1425	train2017/000000274108.jpg
3.599609375	0.0	image/33	33	1843	train2017/000000267338.jpg
4.3828125	0.0	image/49	49	2244	train2017/000000219750.jpg
5.166015625	0.0	image/94	94	2645	train2017/000000278962.jpg
5.9609375	0.0	image/85	85	3052	train2017/000000539705.jpg
6.75	0.0	image/90	90	3456	train2017/000000278555.jpg
7.560546875	0.0	image/34	34	3871	train2017/000000005277.jpg
8.328125	0.0	image/77	77	4264	train2017/000000275938.jpg
9.12890625	0.0	image/59	59	4674	train2017/000000010046.jpg
9.947265625	0.0	image/24	24	5093	train2017/000000265453.jpg
10.767578125	0.0	image/38	38	5513	train2017/000000312536.jpg
11.5859375	0.0	image/58	58	5932	train2017/000000534259.jpg
12.396484375	0.0	image/26	26	6347	train2017/000000003521.jpg
13.185546875	0.0	image/78	78	6751	train2017/000000013969.jpg
13.986328125	0.0	image/56	56	7161	train2017/000000008998.jpg
14.818359375	0.0	image/46	46	7587	train2017/000000531515.jpg
15.603515625	0.0	image/109	109	7989	train2017/000000544060.jpg
16.38671875	0.0	image/89	89	8390	train2017/000000016314.jpg
17.181640625	0.0	image/61	61	8797	train2017/000000272901.jpg
18.00390625	0.0	image/9	9	9218	train2017/000000000650.jpg
18.814453125	0.0	image/37	37	9633	train2017/000000005684.jpg
19.58203125	0.0	image/75	75	10026	train2017/000000399878.jpg
20.38671875	0.0	image/45	45	10438	train2017/000000531392.jpg
21.955078125	0.0	image/120	120	11241	train2017/000000021718.jpg
22.732421875	0.0	image/5	5	11639	train2017/000000262690.jpg
24.322265625	0.0	image/17	17	12453	train2017/000000002372.jpg
25.97265625	0.0	image/119	119	13298	train2017/000000545950.jpg
26.7890625	0.0	image/62	62	13716	train2017/000000010903.jpg
27.572265625	0.0	image/100	100	14117	train2017/000000541856.jpg
28.3515625	0.0	image/66	66	14516	train2017/000000273250.jpg
29.134765625	0.0	image/104	104	14917	train2017/000000018367.jpg
29.923828125	0.0	image/64	64	15321	train2017/000000273138.jpg
30.724609375	0.0	image/48	48	15731	train2017/000000011299.jpg
31.517578125	0.0	image/68	68	16137	train2017/000000535871.jpg
