onset	duration	trial_type	value	sample	stim_file
1.93359375	0.0	image/117	117	990	nsd/9978.png
2.720703125	0.0	image/111	111	1393	nsd/9680.png
3.51953125	0.0	image/68	68	1802	nsd/6713.png
4.30078125	0.0	image/76	76	2202	nsd/7409.png
5.1171875	0.0	image/52	52	2620	nsd/5583.png
5.884765625	0.0	image/119	119	3013	nsd/10046.png
6.68359375	0.0	image/34	34	3422	nsd/4690.png
7.46875	0.0	image/2	2	3824	nsd/2990.png
8.251953125	0.0	image/26	26	4225	nsd/4129.png
9.03515625	0.0	image/45	45	4626	nsd/5301.png
9.8203125	0.0	image/44	44	5028	nsd/5285.png
10.6015625	0.0	image/113	113	5428	nsd/9804.png
11.388671875	0.0	image/69	69	5831	nsd/6801.png
12.15234375	0.0	image/92	92	6222	nsd/8318.png
12.953125	0.0	image/33	33	6632	nsd/4667.png
13.75390625	0.0	image/8	8	7042	nsd/3171.png
14.541015625	0.0	image/97	97	7445	nsd/8465.png
15.3203125	0.0	image/54	54	7844	nsd/5714.png
16.138671875	0.0	image/74	74	8263	nsd/7336.png
16.9375	0.0	image/109	109	8672	nsd/9434.png
18.521484375	0.0	image/24	24	9483	nsd/4051.png
19.32421875	0.0	image/55	55	9894	nsd/5878.png
20.08984375	0.0	image/22	22	10286	nsd/3913.png
21.705078125	0.0	image/100	100	11113	nsd/8646.png
22.48828125	0.0	image/59	59	11514	nsd/6222.png
23.2734375	0.0	image/50	50	11916	nsd/5542.png
24.072265625	0.0	image/87	87	12325	nsd/8109.png
24.83984375	0.0	image/112	112	12718	nsd/9722.png
25.640625	0.0	image/84	84	13128	nsd/7948.png
26.40625	0.0	image/120	120	13520	nsd/10064.png
27.95703125	0.0	image/55	55	14314	nsd/5878.png
28.724609375	0.0	image/32	32	14707	nsd/4612.png
29.490234375	0.0	image/117	117	15099	nsd/9978.png
30.275390625	0.0	image/86	86	15501	nsd/8006.png
31.875	0.0	image/40	40	16320	nsd/4930.png
32.642578125	0.0	image/6	6	16713	nsd/3157.png
33.458984375	0.0	image/28	28	17131	nsd/4249.png
34.259765625	0.0	image/31	31	17541	nsd/4436.png
35.013671875	0.0	image/29	29	17927	nsd/4325.png
35.798828125	0.0	image/72	72	18329	nsd/7120.png
36.595703125	0.0	image/7	7	18737	nsd/3164.png
37.392578125	0.0	image/18	18	19145	nsd/3809.png
38.177734375	0.0	image/29	29	19547	nsd/4325.png
38.98046875	0.0	image/107	107	19958	nsd/9147.png
39.787109375	0.0	image/62	62	20371	nsd/6489.png
41.396484375	0.0	image/61	61	21195	nsd/6444.png
42.1796875	0.0	image/110	110	21596	nsd/9462.png
42.962890625	0.0	image/7	7	21997	nsd/3164.png
43.76171875	0.0	image/88	88	22406	nsd/8204.png
44.572265625	0.0	image/95	95	22821	nsd/8415.png
45.345703125	0.0	image/89	89	23217	nsd/8225.png
46.154296875	0.0	image/20	20	23631	nsd/3847.png
46.98046875	0.0	image/112	112	24054	nsd/9722.png
47.771484375	0.0	image/90	90	24459	nsd/8262.png
48.568359375	0.0	image/10	10	24867	nsd/3386.png
49.388671875	0.0	image/56	56	25287	nsd/5890.png
50.205078125	0.0	image/43	43	25705	nsd/5204.png
51.005859375	0.0	image/16	16	26115	nsd/3687.png
51.837890625	0.0	image/74	74	26541	nsd/7336.png
52.623046875	0.0	image/12	12	26943	nsd/3449.png
53.419921875	0.0	image/85	85	27351	nsd/7954.png
54.21875	0.0	image/56	56	27760	nsd/5890.png
54.986328125	0.0	image/3	3	28153	nsd/3049.png
56.609375	0.0	image/4	4	28984	nsd/3077.png
58.224609375	0.0	image/12	12	29811	nsd/3449.png
59.037109375	0.0	image/43	43	30227	nsd/5204.png
60.591796875	0.0	image/38	38	31023	nsd/4869.png
61.38671875	0.0	image/33	33	31430	nsd/4667.png
62.193359375	0.0	image/59	59	31843	nsd/6222.png
62.98828125	0.0	image/51	51	32250	nsd/5574.png
63.771484375	0.0	image/93	93	32651	nsd/8387.png
64.576171875	0.0	image/91	91	33063	nsd/8274.png
66.189453125	0.0	image/25	25	33889	nsd/4058.png
67.77734375	0.0	image/13	13	34702	nsd/3489.png
68.572265625	0.0	image/72	72	35109	nsd/7120.png
