name	type	units	sampling_frequency	status
Fp1	EEG	uV	512.0	good
AF7	EEG	uV	512.0	good
AF3	EEG	uV	512.0	good
F1	EEG	uV	512.0	good
F3	EEG	uV	512.0	good
F5	EEG	uV	512.0	good
F7	EEG	uV	512.0	good
FT7	EEG	uV	512.0	good
FC5	EEG	uV	512.0	good
FC3	EEG	uV	512.0	good
FC1	EEG	uV	512.0	good
C1	EEG	uV	512.0	good
C3	EEG	uV	512.0	good
C5	EEG	uV	512.0	good
T7	EEG	uV	512.0	good
TP7	EEG	uV	512.0	good
CP5	EEG	uV	512.0	good
CP3	EEG	uV	512.0	good
CP1	EEG	uV	512.0	good
P1	EEG	uV	512.0	good
P3	EEG	uV	512.0	good
P5	EEG	uV	512.0	good
P7	EEG	uV	512.0	good
P9	EEG	uV	512.0	good
PO7	EEG	uV	512.0	good
PO3	EEG	uV	512.0	good
O1	EEG	uV	512.0	good
Iz	EEG	uV	512.0	good
Oz	EEG	uV	512.0	good
POz	EEG	uV	512.0	good
Pz	EEG	uV	512.0	good
CPz	EEG	uV	512.0	good
Fpz	EEG	uV	512.0	good
Fp2	EEG	uV	512.0	good
AF8	EEG	uV	512.0	good
AF4	EEG	uV	512.0	good
AFz	EEG	uV	512.0	good
Fz	EEG	uV	512.0	good
F2	EEG	uV	512.0	good
F4	EEG	uV	512.0	good
F6	EEG	uV	512.0	good
F8	EEG	uV	512.0	good
FT8	EEG	uV	512.0	good
FC6	EEG	uV	512.0	good
FC4	EEG	uV	512.0	good
FC2	EEG	uV	512.0	good
FCz	EEG	uV	512.0	good
Cz	EEG	uV	512.0	good
C2	EEG	uV	512.0	good
C4	EEG	uV	512.0	good
C6	EEG	uV	512.0	good
T8	EEG	uV	512.0	good
TP8	EEG	uV	512.0	good
CP6	EEG	uV	512.0	good
CP4	EEG	uV	512.0	good
CP2	EEG	uV	512.0	good
P2	EEG	uV	512.0	good
P4	EEG	uV	512.0	good
P6	EEG	uV	512.0	good
P8	EEG	uV	512.0	good
P10	EEG	uV	512.0	good
PO8	EEG	uV	512.0	good
PO4	EEG	uV	512.0	good
O2	EEG	uV	512.0	good
