onset	duration	trial_type	value	sample	stim_file
1.603515625	0.0	image/26	26	821	nsd/4129.png
2.388671875	0.0	image/90	90	1223	nsd/8262.png
3.208984375	0.0	image/94	94	1643	nsd/8394.png
4.025390625	0.0	image/118	118	2061	nsd/10006.png
4.841796875	0.0	image/104	104	2479	nsd/8933.png
5.625	0.0	image/84	84	2880	nsd/7948.png
7.21875	0.0	image/87	87	3696	nsd/8109.png
8.009765625	0.0	image/37	37	4101	nsd/4835.png
8.83984375	0.0	image/116	116	4526	nsd/9917.png
10.4375	0.0	image/5	5	5344	nsd/3146.png
11.220703125	0.0	image/105	105	5745	nsd/9027.png
12.04296875	0.0	image/19	19	6166	nsd/3842.png
12.853515625	0.0	image/72	72	6581	nsd/7120.png
13.640625	0.0	image/29	29	6984	nsd/4325.png
14.451171875	0.0	image/43	43	7399	nsd/5204.png
15.244140625	0.0	image/47	47	7805	nsd/5427.png
16.0625	0.0	image/4	4	8224	nsd/3077.png
16.888671875	0.0	image/24	24	8647	nsd/4051.png
17.69140625	0.0	image/44	44	9058	nsd/5285.png
18.49609375	0.0	image/49	49	9470	nsd/5502.png
19.306640625	0.0	image/31	31	9885	nsd/4436.png
20.080078125	0.0	image/120	120	10281	nsd/10064.png
20.896484375	0.0	image/23	23	10699	nsd/3951.png
21.677734375	0.0	image/57	57	11099	nsd/6132.png
22.474609375	0.0	image/8	8	11507	nsd/3171.png
23.24609375	0.0	image/7	7	11902	nsd/3164.png
24.07421875	0.0	image/74	74	12326	nsd/7336.png
24.896484375	0.0	image/5	5	12747	nsd/3146.png
25.69140625	0.0	image/9	9	13154	nsd/3181.png
26.474609375	0.0	image/113	113	13555	nsd/9804.png
27.28125	0.0	image/35	35	13968	nsd/4768.png
28.865234375	0.0	image/99	99	14779	nsd/8631.png
29.642578125	0.0	image/71	71	15177	nsd/7039.png
30.4296875	0.0	image/17	17	15580	nsd/3729.png
31.244140625	0.0	image/65	65	15997	nsd/6524.png
32.06640625	0.0	image/45	45	16418	nsd/5301.png
32.861328125	0.0	image/16	16	16825	nsd/3687.png
33.66015625	0.0	image/119	119	17234	nsd/10046.png
34.451171875	0.0	image/104	104	17639	nsd/8933.png
35.228515625	0.0	image/83	83	18037	nsd/7944.png
35.994140625	0.0	image/6	6	18429	nsd/3157.png
36.796875	0.0	image/78	78	18840	nsd/7480.png
37.6171875	0.0	image/64	64	19260	nsd/6521.png
38.427734375	0.0	image/25	25	19675	nsd/4058.png
39.251953125	0.0	image/40	40	20097	nsd/4930.png
40.0625	0.0	image/45	45	20512	nsd/5301.png
40.84765625	0.0	image/1	1	20914	nsd/2950.png
41.626953125	0.0	image/38	38	21313	nsd/4869.png
42.435546875	0.0	image/18	18	21727	nsd/3809.png
43.248046875	0.0	image/108	108	22143	nsd/9230.png
44.037109375	0.0	image/25	25	22547	nsd/4058.png
44.869140625	0.0	image/110	110	22973	nsd/9462.png
45.6484375	0.0	image/66	66	23372	nsd/6558.png
46.419921875	0.0	image/27	27	23767	nsd/4156.png
47.203125	0.0	image/92	92	24168	nsd/8318.png
