onset	duration	trial_type	value	sample	stim_file
2.05078125	0.0	image/95	95	1050	nsd/8415.png
2.900390625	0.0	image/73	73	1485	nsd/7207.png
3.68359375	0.0	image/103	103	1886	nsd/8925.png
4.5078125	0.0	image/21	21	2308	nsd/3856.png
5.30078125	0.0	image/45	45	2714	nsd/5301.png
6.1171875	0.0	image/4	4	3132	nsd/3077.png
6.900390625	0.0	image/94	94	3533	nsd/8394.png
7.728515625	0.0	image/47	47	3957	nsd/5427.png
8.49609375	0.0	image/85	85	4350	nsd/7954.png
9.28515625	0.0	image/89	89	4754	nsd/8225.png
10.119140625	0.0	image/49	49	5181	nsd/5502.png
10.896484375	0.0	image/53	53	5579	nsd/5602.png
11.71875	0.0	image/39	39	6000	nsd/4892.png
12.529296875	0.0	image/51	51	6415	nsd/5574.png
13.3125	0.0	image/7	7	6816	nsd/3164.png
14.080078125	0.0	image/19	19	7209	nsd/3842.png
14.869140625	0.0	image/22	22	7613	nsd/3913.png
16.50390625	0.0	image/105	105	8450	nsd/9027.png
18.08203125	0.0	image/60	60	9258	nsd/6431.png
18.853515625	0.0	image/71	71	9653	nsd/7039.png
19.671875	0.0	image/120	120	10072	nsd/10064.png
20.501953125	0.0	image/107	107	10497	nsd/9147.png
21.3046875	0.0	image/32	32	10908	nsd/4612.png
22.921875	0.0	image/24	24	11736	nsd/4051.png
23.755859375	0.0	image/71	71	12163	nsd/7039.png
24.552734375	0.0	image/42	42	12571	nsd/5106.png
25.322265625	0.0	image/9	9	12965	nsd/3181.png
26.107421875	0.0	image/115	115	13367	nsd/9865.png
26.91796875	0.0	image/54	54	13782	nsd/5714.png
27.724609375	0.0	image/79	79	14195	nsd/7654.png
29.28515625	0.0	image/31	31	14994	nsd/4436.png
30.875	0.0	image/90	90	15808	nsd/8262.png
31.658203125	0.0	image/56	56	16209	nsd/5890.png
33.275390625	0.0	image/113	113	17037	nsd/9804.png
34.103515625	0.0	image/21	21	17461	nsd/3856.png
34.892578125	0.0	image/24	24	17865	nsd/4051.png
36.52734375	0.0	image/100	100	18702	nsd/8646.png
38.076171875	0.0	image/33	33	19495	nsd/4667.png
38.853515625	0.0	image/80	80	19893	nsd/7659.png
39.677734375	0.0	image/19	19	20315	nsd/3842.png
40.50390625	0.0	image/106	106	20738	nsd/9048.png
41.271484375	0.0	image/119	119	21131	nsd/10046.png
42.041015625	0.0	image/59	59	21525	nsd/6222.png
42.845703125	0.0	image/17	17	21937	nsd/3729.png
43.62890625	0.0	image/38	38	22338	nsd/4869.png
44.421875	0.0	image/6	6	22744	nsd/3157.png
45.228515625	0.0	image/86	86	23157	nsd/8006.png
46.0234375	0.0	image/15	15	23564	nsd/3682.png
46.806640625	0.0	image/52	52	23965	nsd/5583.png
47.580078125	0.0	image/43	43	24361	nsd/5204.png
49.212890625	0.0	image/84	84	25197	nsd/7948.png
50.046875	0.0	image/109	109	25624	nsd/9434.png
50.830078125	0.0	image/94	94	26025	nsd/8394.png
51.630859375	0.0	image/14	14	26435	nsd/3626.png
52.462890625	0.0	image/28	28	26861	nsd/4249.png
53.2421875	0.0	image/53	53	27260	nsd/5602.png
54.009765625	0.0	image/86	86	27653	nsd/8006.png
54.78125	0.0	image/1	1	28048	nsd/2950.png
55.564453125	0.0	image/13	13	28449	nsd/3489.png
56.39453125	0.0	image/61	61	28874	nsd/6444.png
57.19921875	0.0	image/108	108	29286	nsd/9230.png
58.02734375	0.0	image/87	87	29710	nsd/8109.png
58.833984375	0.0	image/9	9	30123	nsd/3181.png
59.6171875	0.0	image/102	102	30524	nsd/8843.png
60.39453125	0.0	image/84	84	30922	nsd/7948.png
62.02734375	0.0	image/65	65	31758	nsd/6524.png
62.796875	0.0	image/48	48	32152	nsd/5459.png
63.599609375	0.0	image/63	63	32563	nsd/6514.png
64.41796875	0.0	image/112	112	32982	nsd/9722.png
65.21875	0.0	image/81	81	33392	nsd/7840.png
66.001953125	0.0	image/40	40	33793	nsd/4930.png
66.830078125	0.0	image/51	51	34217	nsd/5574.png
67.65234375	0.0	image/72	72	34638	nsd/7120.png
68.447265625	0.0	image/62	62	35045	nsd/6489.png
69.248046875	0.0	image/96	96	35455	nsd/8435.png
70.052734375	0.0	image/116	116	35867	nsd/9917.png
70.880859375	0.0	image/55	55	36291	nsd/5878.png
72.537109375	0.0	image/8	8	37139	nsd/3171.png
73.33203125	0.0	image/105	105	37546	nsd/9027.png
74.12109375	0.0	image/11	11	37950	nsd/3434.png
75.681640625	0.0	image/8	8	38749	nsd/3171.png
76.505859375	0.0	image/81	81	39171	nsd/7840.png
77.31640625	0.0	image/98	98	39586	nsd/8509.png
78.873046875	0.0	image/119	119	40383	nsd/10046.png
79.65625	0.0	image/20	20	40784	nsd/3847.png
80.43359375	0.0	image/78	78	41182	nsd/7480.png
81.21875	0.0	image/103	103	41584	nsd/8925.png
82.0234375	0.0	image/75	75	41996	nsd/7366.png
82.83984375	0.0	image/96	96	42414	nsd/8435.png
83.619140625	0.0	image/91	91	42813	nsd/8274.png
84.44140625	0.0	image/63	63	43234	nsd/6514.png
85.21875	0.0	image/57	57	43632	nsd/6132.png
86.041015625	0.0	image/45	45	44053	nsd/5301.png
86.8515625	0.0	image/83	83	44468	nsd/7944.png
87.654296875	0.0	image/17	17	44879	nsd/3729.png
89.287109375	0.0	image/117	117	45715	nsd/9978.png
90.0703125	0.0	image/35	35	46116	nsd/4768.png
90.875	0.0	image/49	49	46528	nsd/5502.png
91.66015625	0.0	image/16	16	46930	nsd/3687.png
92.458984375	0.0	image/26	26	47339	nsd/4129.png
94.02734375	0.0	image/14	14	48142	nsd/3626.png
94.828125	0.0	image/46	46	48552	nsd/5338.png
95.611328125	0.0	image/69	69	48953	nsd/6801.png
96.39453125	0.0	image/68	68	49354	nsd/6713.png
97.205078125	0.0	image/35	35	49769	nsd/4768.png
