onset	duration	trial_type	value	sample	stim_file
2.005859375	0.0	image/90	90	1027	nsd/8262.png
2.82421875	0.0	image/9	9	1446	nsd/3181.png
3.623046875	0.0	image/100	100	1855	nsd/8646.png
4.44140625	0.0	image/56	56	2274	nsd/5890.png
5.2734375	0.0	image/32	32	2700	nsd/4612.png
6.052734375	0.0	image/75	75	3099	nsd/7366.png
6.857421875	0.0	image/78	78	3511	nsd/7480.png
7.67578125	0.0	image/48	48	3930	nsd/5459.png
8.474609375	0.0	image/107	107	4339	nsd/9147.png
9.2578125	0.0	image/82	82	4740	nsd/7859.png
10.091796875	0.0	image/77	77	5167	nsd/7418.png
10.875	0.0	image/31	31	5568	nsd/4436.png
11.66015625	0.0	image/53	53	5970	nsd/5602.png
12.443359375	0.0	image/7	7	6371	nsd/3164.png
13.275390625	0.0	image/44	44	6797	nsd/5285.png
14.060546875	0.0	image/80	80	7199	nsd/7659.png
14.84375	0.0	image/83	83	7600	nsd/7944.png
15.626953125	0.0	image/109	109	8001	nsd/9434.png
16.4609375	0.0	image/23	23	8428	nsd/3951.png
17.244140625	0.0	image/97	97	8829	nsd/8465.png
18.02734375	0.0	image/58	58	9230	nsd/6199.png
18.828125	0.0	image/97	97	9640	nsd/8465.png
19.611328125	0.0	image/93	93	10041	nsd/8387.png
20.423828125	0.0	image/116	116	10457	nsd/9917.png
21.228515625	0.0	image/63	63	10869	nsd/6514.png
22.029296875	0.0	image/104	104	11279	nsd/8933.png
22.845703125	0.0	image/62	62	11697	nsd/6489.png
23.662109375	0.0	image/2	2	12115	nsd/2990.png
25.212890625	0.0	image/119	119	12909	nsd/10046.png
26.013671875	0.0	image/114	114	13319	nsd/9847.png
26.830078125	0.0	image/9	9	13737	nsd/3181.png
27.630859375	0.0	image/66	66	14147	nsd/6558.png
28.431640625	0.0	image/58	58	14557	nsd/6199.png
29.248046875	0.0	image/24	24	14975	nsd/4051.png
30.03125	0.0	image/69	69	15376	nsd/6801.png
30.84765625	0.0	image/54	54	15794	nsd/5714.png
31.6484375	0.0	image/108	108	16204	nsd/9230.png
32.478515625	0.0	image/47	47	16629	nsd/5427.png
33.275390625	0.0	image/69	69	17037	nsd/6801.png
34.08203125	0.0	image/61	61	17450	nsd/6444.png
34.865234375	0.0	image/92	92	17851	nsd/8318.png
35.64453125	0.0	image/55	55	18250	nsd/5878.png
36.44921875	0.0	image/92	92	18662	nsd/8318.png
37.25	0.0	image/82	82	19072	nsd/7859.png
38.033203125	0.0	image/102	102	19473	nsd/8843.png
38.8125	0.0	image/26	26	19872	nsd/4129.png
40.46484375	0.0	image/43	43	20718	nsd/5204.png
41.279296875	0.0	image/39	39	21135	nsd/4892.png
42.05078125	0.0	image/17	17	21530	nsd/3729.png
42.884765625	0.0	image/34	34	21957	nsd/4690.png
43.685546875	0.0	image/38	38	22367	nsd/4869.png
44.513671875	0.0	image/57	57	22791	nsd/6132.png
45.3359375	0.0	image/11	11	23212	nsd/3434.png
46.13671875	0.0	image/57	57	23622	nsd/6132.png
46.970703125	0.0	image/65	65	24049	nsd/6524.png
47.798828125	0.0	image/111	111	24473	nsd/9680.png
49.38671875	0.0	image/6	6	25286	nsd/3157.png
50.171875	0.0	image/20	20	25688	nsd/3847.png
50.970703125	0.0	image/11	11	26097	nsd/3434.png
52.60546875	0.0	image/72	72	26934	nsd/7120.png
53.388671875	0.0	image/114	114	27335	nsd/9847.png
54.189453125	0.0	image/120	120	27745	nsd/10064.png
54.98828125	0.0	image/111	111	28154	nsd/9680.png
55.7890625	0.0	image/76	76	28564	nsd/7409.png
56.62109375	0.0	image/72	72	28990	nsd/7120.png
57.439453125	0.0	image/6	6	29409	nsd/3157.png
58.255859375	0.0	image/60	60	29827	nsd/6431.png
59.07421875	0.0	image/62	62	30246	nsd/6489.png
59.890625	0.0	image/36	36	30664	nsd/4786.png
60.673828125	0.0	image/22	22	31065	nsd/3913.png
61.501953125	0.0	image/79	79	31489	nsd/7654.png
62.30859375	0.0	image/56	56	31902	nsd/5890.png
63.125	0.0	image/67	67	32320	nsd/6640.png
63.94140625	0.0	image/40	40	32738	nsd/4930.png
64.724609375	0.0	image/95	95	33139	nsd/8415.png
65.552734375	0.0	image/25	25	33563	nsd/4058.png
66.3359375	0.0	image/93	93	33964	nsd/8387.png
67.16015625	0.0	image/86	86	34386	nsd/8006.png
67.958984375	0.0	image/59	59	34795	nsd/6222.png
69.560546875	0.0	image/46	46	35615	nsd/5338.png
70.34375	0.0	image/49	49	36016	nsd/5502.png
71.138671875	0.0	image/14	14	36423	nsd/3626.png
72.76171875	0.0	image/34	34	37254	nsd/4690.png
73.59375	0.0	image/120	120	37680	nsd/10064.png
74.40625	0.0	image/37	37	38096	nsd/4835.png
75.978515625	0.0	image/99	99	38901	nsd/8631.png
76.76171875	0.0	image/105	105	39302	nsd/9027.png
77.556640625	0.0	image/33	33	39709	nsd/4667.png
79.12890625	0.0	image/87	87	40514	nsd/8109.png
79.9296875	0.0	image/61	61	40924	nsd/6444.png
