onset	duration	trial_type	value	sample	stim_file
1.85546875	0.0	image/120	120	950	train2017/000000021718.jpg
2.650390625	0.0	image/7	7	1357	train2017/000000000605.jpg
4.234375	0.0	image/58	58	2168	train2017/000000534259.jpg
5.001953125	0.0	image/78	78	2561	train2017/000000013969.jpg
5.80078125	0.0	image/15	15	2970	train2017/000000264396.jpg
6.60546875	0.0	image/44	44	3382	train2017/000000007048.jpg
7.369140625	0.0	image/52	52	3773	train2017/000000008053.jpg
8.119140625	0.0	image/41	41	4157	train2017/000000268418.jpg
8.92578125	0.0	image/57	57	4570	train2017/000000001625.jpg
9.71875	0.0	image/25	25	4976	train2017/000000527618.jpg
10.501953125	0.0	image/18	18	5377	train2017/000000264735.jpg
11.28515625	0.0	image/12	12	5778	train2017/000000525790.jpg
12.052734375	0.0	image/80	80	6171	train2017/000000538822.jpg
12.8203125	0.0	image/49	49	6564	train2017/000000219750.jpg
13.619140625	0.0	image/100	100	6973	train2017/000000541856.jpg
14.4375	0.0	image/104	104	7392	train2017/000000018367.jpg
15.98828125	0.0	image/47	47	8186	train2017/000000531828.jpg
17.521484375	0.0	image/34	34	8971	train2017/000000005277.jpg
18.271484375	0.0	image/81	81	9355	train2017/000000539340.jpg
19.0390625	0.0	image/67	67	9748	train2017/000000011358.jpg
19.822265625	0.0	image/108	108	10149	train2017/000000281330.jpg
20.623046875	0.0	image/7	7	10559	train2017/000000000605.jpg
21.40625	0.0	image/67	67	10960	train2017/000000011358.jpg
22.173828125	0.0	image/3	3	11353	train2017/000000262414.jpg
22.939453125	0.0	image/29	29	11745	train2017/000000393907.jpg
23.70703125	0.0	image/80	80	12138	train2017/000000538822.jpg
24.47265625	0.0	image/20	20	12530	train2017/000000526980.jpg
25.224609375	0.0	image/26	26	12915	train2017/000000003521.jpg
25.990234375	0.0	image/96	96	13307	train2017/000000541258.jpg
26.7734375	0.0	image/9	9	13708	train2017/000000000650.jpg
27.57421875	0.0	image/104	104	14118	train2017/000000018367.jpg
28.376953125	0.0	image/117	117	14529	train2017/000000396793.jpg
29.17578125	0.0	image/35	35	14938	train2017/000000267647.jpg
29.94140625	0.0	image/94	94	15330	train2017/000000278962.jpg
31.52734375	0.0	image/119	119	16142	train2017/000000545950.jpg
32.34375	0.0	image/103	103	16560	train2017/000000280484.jpg
33.126953125	0.0	image/16	16	16961	train2017/000000002270.jpg
33.943359375	0.0	image/116	116	17379	train2017/000000283426.jpg
34.7265625	0.0	image/46	46	17780	train2017/000000531515.jpg
35.52734375	0.0	image/16	16	18190	train2017/000000002270.jpg
36.310546875	0.0	image/49	49	18591	train2017/000000219750.jpg
37.126953125	0.0	image/1	1	19009	train2017/000000262145.jpg
37.943359375	0.0	image/3	3	19427	train2017/000000262414.jpg
38.76171875	0.0	image/96	96	19846	train2017/000000541258.jpg
39.544921875	0.0	image/4	4	20247	train2017/000000524646.jpg
40.34765625	0.0	image/13	13	20658	train2017/000000525932.jpg
41.912109375	0.0	image/64	64	21459	train2017/000000273138.jpg
43.544921875	0.0	image/120	120	22295	train2017/000000021718.jpg
44.314453125	0.0	image/88	88	22689	train2017/000000540538.jpg
45.080078125	0.0	image/83	83	23081	train2017/000000277524.jpg
45.865234375	0.0	image/4	4	23483	train2017/000000524646.jpg
46.646484375	0.0	image/113	113	23883	train2017/000000545160.jpg
47.4296875	0.0	image/60	60	24284	train2017/000000010710.jpg
48.21484375	0.0	image/21	21	24686	train2017/000000274108.jpg
49.03515625	0.0	image/27	27	25106	train2017/000000265745.jpg
49.83203125	0.0	image/54	54	25514	train2017/000000532753.jpg
50.59765625	0.0	image/63	63	25906	train2017/000000273120.jpg
51.4140625	0.0	image/78	78	26324	train2017/000000013969.jpg
52.234375	0.0	image/91	91	26744	train2017/000000540735.jpg
53.041015625	0.0	image/20	20	27157	train2017/000000526980.jpg
53.875	0.0	image/36	36	27584	train2017/000000267699.jpg
54.669921875	0.0	image/70	70	27991	train2017/000000536786.jpg
55.453125	0.0	image/97	97	28392	train2017/000000279197.jpg
56.25	0.0	image/74	74	28800	train2017/000000275663.jpg
57.017578125	0.0	image/107	107	29193	train2017/000000543254.jpg
57.783203125	0.0	image/17	17	29585	train2017/000000002372.jpg
58.5859375	0.0	image/109	109	29996	train2017/000000544060.jpg
59.400390625	0.0	image/97	97	30413	train2017/000000279197.jpg
60.185546875	0.0	image/44	44	30815	train2017/000000007048.jpg
60.951171875	0.0	image/73	73	31207	train2017/000000537393.jpg
61.71875	0.0	image/11	11	31600	train2017/000000263599.jpg
62.517578125	0.0	image/14	14	32009	train2017/000000264244.jpg
63.30078125	0.0	image/84	84	32410	train2017/000000570543.jpg
64.103515625	0.0	image/73	73	32821	train2017/000000537393.jpg
64.869140625	0.0	image/68	68	33213	train2017/000000535871.jpg
65.619140625	0.0	image/63	63	33597	train2017/000000273120.jpg
67.203125	0.0	image/51	51	34408	train2017/000000008027.jpg
67.96875	0.0	image/72	72	34800	train2017/000000274978.jpg
68.76953125	0.0	image/42	42	35210	train2017/000000268659.jpg
69.57421875	0.0	image/62	62	35622	train2017/000000010903.jpg
70.396484375	0.0	image/61	61	36043	train2017/000000272901.jpg
71.169921875	0.0	image/69	69	36439	train2017/000000011856.jpg
71.98828125	0.0	image/82	82	36858	train2017/000000539395.jpg
72.75390625	0.0	image/40	40	37250	train2017/000000268114.jpg
73.537109375	0.0	image/83	83	37651	train2017/000000277524.jpg
74.2890625	0.0	image/55	55	38036	train2017/000000533231.jpg
75.076171875	0.0	image/84	84	38439	train2017/000000570543.jpg
75.859375	0.0	image/65	65	38840	train2017/000000273147.jpg
76.658203125	0.0	image/13	13	39249	train2017/000000525932.jpg
77.47265625	0.0	image/6	6	39666	train2017/000000000584.jpg
78.2734375	0.0	image/115	115	40076	train2017/000000021095.jpg
79.80859375	0.0	image/59	59	40862	train2017/000000010046.jpg
80.58984375	0.0	image/29	29	41262	train2017/000000393907.jpg
81.357421875	0.0	image/76	76	41655	train2017/000000275902.jpg
82.94140625	0.0	image/10	10	42466	train2017/000000001308.jpg
83.7265625	0.0	image/112	112	42868	train2017/000000544926.jpg
84.494140625	0.0	image/77	77	43261	train2017/000000275938.jpg
85.296875	0.0	image/92	92	43672	train2017/000000278714.jpg
86.091796875	0.0	image/93	93	44079	train2017/000000541077.jpg
86.89453125	0.0	image/118	118	44490	train2017/000000283678.jpg
87.708984375	0.0	image/11	11	44907	train2017/000000263599.jpg
88.509765625	0.0	image/119	119	45317	train2017/000000545950.jpg
89.3359375	0.0	image/79	79	45740	train2017/000000276664.jpg
90.16015625	0.0	image/64	64	46162	train2017/000000273138.jpg
90.919921875	0.0	image/15	15	46551	train2017/000000264396.jpg
91.7109375	0.0	image/48	48	46956	train2017/000000011299.jpg
92.51171875	0.0	image/38	38	47366	train2017/000000312536.jpg
93.294921875	0.0	image/34	34	47767	train2017/000000005277.jpg
94.09375	0.0	image/86	86	48176	train2017/000000539879.jpg
94.865234375	0.0	image/87	87	48571	train2017/000000300383.jpg
95.662109375	0.0	image/65	65	48979	train2017/000000273147.jpg
96.4609375	0.0	image/107	107	49388	train2017/000000543254.jpg
97.24609375	0.0	image/60	60	49790	train2017/000000010710.jpg
98.0625	0.0	image/43	43	50208	train2017/000000006765.jpg
98.8125	0.0	image/26	26	50592	train2017/000000003521.jpg
99.5625	0.0	image/8	8	50976	train2017/000000000625.jpg
100.33203125	0.0	image/35	35	51370	train2017/000000267647.jpg
101.11328125	0.0	image/110	110	51770	train2017/000000019863.jpg
102.71484375	0.0	image/5	5	52590	train2017/000000262690.jpg
103.5	0.0	image/77	77	52992	train2017/000000275938.jpg
104.31640625	0.0	image/53	53	53410	train2017/000000270278.jpg
105.140625	0.0	image/103	103	53832	train2017/000000280484.jpg
